Name of Restaurant,Features/Category,Market Segment,Cuisine,Top Dishes,Address,Area/Location,Latitude,Longitude,Zomato URL,Dining Rating
Rottu Kadai,"Breakfast, Indoor Seating",Restaurant,"South Indian,  North Indian","Biryani,  Dal Makhani,  Rajma Chawal,  Keerai Kootu,  Palak Paneer,  Butter Chicken,  Medu Vada"," 15/3, Thirunagar 6th Street, Vadapalani, Chennai",Vadapalani,13.05,80.2121,https://www.zomato.com/chennai/rottu-kadai-vadapalani,3.5
Sagar Chicken Pakkoda Center,Home Delivery,Fast Food,"North Indian,  Street Food","Aloo Paratha,  Sev Puri,  Pani Puri,  Biryani,  Rogan Josh,  Aloo Tikki,  Butter Chicken"," 764, T.H Road, Tiruvottiyur, Chennai",Tiruvottiyur,13.1643,80.3001,https://www.zomato.com/chennai/sagar-chicken-pakkoda-center-tiruvottiyur,3.7
Namakkal Annamalai Hotel,"Home Delivery, Indoor Seating",Hotel,"South Indian,  Andhra","Rasam Rice,  Uthappam,  Idli Sambar,  Punugulu,  Majjiga Pulusu,  Keerai Kootu,  Rava Idli"," 5/3, Merku Vanniyar Street, K.K. Nagar, Chennai",K.K. Nagar,13.041,80.1994,https://www.zomato.com/chennai/namakkal-annamalai-hotel-k-k-nagar,3.6
Mansukh Fine Dine,"Vegetarian Only, Indoor Seating, Table booking recommended",Fast Food,"Street Food,  Chinese,  North Indian,  Desserts,  Beverages","Chocolate Mousse,  Gulab Jamun,  Palak Paneer,  Gobi Manchurian,  Rajma Chawal,  Rogan Josh,  Chilli Paneer"," 268, Wall Tax Road, Park Town, Chennai",Park Town,13.0796,80.2752,https://www.zomato.com/chennai/mansukh-fine-dine-park-town,3.1
Chickpet Donne Biryani House,"Home Delivery, Indoor Seating",Restaurant,"South Indian,  Biryani,  Chinese,  Chettinad","Vellai Kurma,  Dim Sum,  Kavuni Arisi,  Pongal,  Rava Idli,  Gobi Manchurian,  Chilli Chicken"," 124/2, Redhills Road, Near Amasa Vision, Kolathur, Chennai",Kolathur,13.124,80.2121,https://www.zomato.com/chennai/chickpet-donne-biryani-house-kolathur,3.4
Apna Dhaba,"Home Delivery, Indoor Seating",Restaurant,"North Indian,  Chinese,  BBQ","Biryani,  Paneer Butter Masala,  Chicken Manchurian,  Smoked Brisket,  Chilli Chicken,  Dragon Chicken,  BBQ Chicken"," 565/4, Thirupathy Kodai Road, Athipet, Kalaivanar Nagar, Ambattur, Chennai",Ambattur,13.1186,80.1574,https://www.zomato.com/chennai/apna-dhaba-ambattur,3.3
Lightning Bite,"Home Delivery, Desserts and Bakes, Indoor Seating",Bakery & Sweet Shop,Desserts,"Kheer,  Gulab Jamun,  Halwa,  Jalebi,  Chocolate Mousse,  Ice Cream,  Rasgulla"," 1, Ramachandra Colony, Mugalivakkam Main Road, Manapakkam, Ramapuram, Chennai",Ramapuram,13.0317,80.1817,https://www.zomato.com/chennai/lightning-bite-ramapuram,3.5
Le Gourmandise - Le Royal Meridien,"Wheelchair Accessible, Valet Parking Available, Indoor Seating, Wifi, Desserts and Bakes",Bakery & Sweet Shop,"Bakery,  Desserts","Brownie,  Ice Cream,  Sourdough Bread,  Jalebi,  Tiramisu,  Cheesecake,  Chocolate Cake"," 1, Le Royal Meridien Hotel, GST Road, St. Thomas Mount, Chennai","Le Royal Meridien, St. Thomas Mount",13.0051,80.1933,https://www.zomato.com/chennai/le-gourmandise-le-royal-meridien-st-thomas-mount,2.9
Eat N Rate,"Breakfast, Home Delivery, Free Parking, Indoor Seating",Restaurant,"South Indian,  Tamil","Kuzhambu Rice,  Filter Coffee,  Bonda Soup,  Rava Idli,  Idiyappam,  Uthappam,  Parotta"," Plot 1, Abdul Kalam Street, Selvaraj Nagar, Urapakkam West, Near Venkateshwara Hardware, GST Road, Chennai",GST Road,12.9975,80.1908,https://www.zomato.com/chennai/eat-n-rate-gst-road,3.5
Home Cooking,"Breakfast, Home Delivery, Indoor Seating",Restaurant,"South Indian,  Chinese,  North Indian","Rogan Josh,  Rava Idli,  Ghee Podi Dosa,  Dim Sum,  Chole Bhature,  Tandoori Chicken,  Chicken Manchurian"," 2/3, Bhajana Street, Potheri, Chennai",Potheri,12.8213,80.0371,https://www.zomato.com/chennai/home-cooking-potheri,3.5
The Food Car,Home Delivery,Fast Food,"North Indian,  Rolls","Dal Makhani,  Veg Roll,  Paneer Roll,  Chicken Tikka Roll,  Biryani,  Rajma Chawal,  Spring Roll"," Plot 13, 2nd Cross Street, Kaveri Nagar, Karambakkam, Porur, Chennai",Porur,13.0382,80.1565,https://www.zomato.com/chennai/the-food-car-porur,4.5
The Cake Days,"Home Delivery, Indoor Seating, Desserts and Bakes",Fast Food,"Fast Food,  Bakery","Bread Loaf,  Wrap,  Cheesecake,  Croissant,  Sourdough Bread,  Cupcake,  Fried Chicken"," 33, Pammal Main Road, Muthamizh Nagar, Opposite IOB & Cub Bank, Pallavaram, Chennai",Pallavaram,12.9675,80.1491,https://www.zomato.com/chennai/the-cake-days-pallavaram,3.5
The Story of Chef,"Home Delivery, Indoor Seating",Restaurant,"Chinese,  North Indian","Naan,  Palak Paneer,  Aloo Paratha,  Biryani,  Chole Bhature,  Chilli Paneer,  Paneer Butter Masala"," 4/63, 1st Street, Kamaraj Colony, Kodambakkam, Chennai",Kodambakkam,13.0521,80.2255,https://www.zomato.com/chennai/the-story-of-chef-kodambakkam,3.5
Chick N Dlite,"Home Delivery, Standing Tables, Indoor Seating",Restaurant,"Arabian,  North Indian,  Lebanese","Pita Bread,  Kabsa,  Biryani,  Butter Chicken,  Palak Paneer,  Naan,  Tabbouleh"," 16, Pillayar Koil Street, Potheri, Chennai",Potheri,12.8213,80.0371,https://www.zomato.com/chennai/chick-n-dlite-potheri,3.3
The Hangout,"Home Delivery, Indoor Seating",Fast Food,"Pizza,  Fast Food,  Beverages","Mango Lassi,  French Fries,  Pepperoni Pizza,  Masala Chai,  Buttermilk,  Margherita Pizza,  Paneer Tikka Pizza"," 44, Unit F11, 1st Floor, Carpet Area, V R Chennai, Pillaiyar Koil Street, Jawaharlal Nehru Road, Anna Nagar West, Chennai",Anna Nagar West,13.0862,80.2018,https://www.zomato.com/chennai/the-hangout-anna-nagar-west,3.4
The Briyanis House,"Home Delivery, Indoor Seating",Restaurant,"North Indian,  Biryani,  Chinese,  Beverages","Chilli Paneer,  Aloo Paratha,  Mutton Biryani,  Spring Rolls,  Sweet Corn Soup,  Masala Chai,  Rajma Chawal"," Pillaiyar Kovil Street, Potheri, Chennai",Potheri,12.8213,80.0371,https://www.zomato.com/chennai/the-briyanis-house-potheri,3.7
Suganivaas,"Breakfast, Home Delivery, Indoor Seating",Restaurant,"North Indian,  Chinese","Hakka Noodles,  Chilli Chicken,  Dal Makhani,  Paneer Butter Masala,  Dim Sum,  Palak Paneer,  Sweet Corn Soup"," 1/768, Selvaganapathy Nagar, Mugalivakkam, Porur, Chennai",Porur,13.0382,80.1565,https://www.zomato.com/chennai/suganivaas-porur,3
Gelato Factory,"Home Delivery, Indoor Seating, Desserts and Bakes",Ice Cream Parlour,"Ice Cream,  Desserts","Rasgulla,  Chocolate Mousse,  Sundae,  Ice Cream,  Halwa,  Chocolate Ice Cream,  Strawberry Ice Cream"," 50, Mahindra City Main Road, Opposite Holiday Inn Express, Chengalpattu, Chennai",Chengalpattu,12.6819,79.9888,https://www.zomato.com/chennai/gelato-factory-chengalpattu,3.6
Desi Kitchen,"Breakfast, Home Delivery, Indoor Seating",Restaurant,"North Indian,  South Indian,  Fast Food,  Street Food","Rava Idli,  Dal Makhani,  Uthappam,  Pani Puri,  Naan,  Pav Bhaji,  Palak Paneer"," 2/133, Opposite Vs Renganathan Avenue, ECR Road, Uthandi, Kanathur, Chennai",Kanathur,12.9,80.245,https://www.zomato.com/chennai/desi-kitchen-kanathur,3.1
Cafe Top Spot,Indoor Seating,Fast Food,"Chinese,  Sandwich,  Beverages","Hakka Noodles,  Toasted Sandwich,  Grilled Chicken Sandwich,  Dragon Chicken,  Mango Lassi,  Masala Chai,  Chilli Paneer"," 11A, Lal Bahadur Shastri Street, Sholinganallur, Chennai",Sholinganallur,12.901,80.2279,https://www.zomato.com/chennai/cafe-top-spot-sholinganallur,3.9
Sar v Sri,"Breakfast, Home Delivery, Vegetarian Only, Indoor Seating",Restaurant,North Indian,"Naan,  Chole Bhature,  Aloo Paratha,  Palak Paneer,  Biryani,  Paneer Butter Masala,  Tandoori Chicken"," 38, Rajeshwari Street, Santosh Nagar, Kandanchavadi, Perungudi, Chennai",Perungudi,12.9654,80.2461,https://www.zomato.com/chennai/sar-v-sri-perungudi,3.5
The Shawarma And Grill Shop,"Home Delivery, Outdoor Seating",Restaurant,Lebanese,"Tabbouleh,  Kibbeh,  Hummus,  Knafeh,  Falafel,  Baba Ganoush,  Manakish"," 75, Chota Plaza, Mounasamy Madam Cross Street, Venkatapuram, Ambattur, Chennai",Ambattur,13.1186,80.1574,https://www.zomato.com/chennai/the-shawarma-and-grill-shop-ambattur,2.9
Kozhi Charu,"Home Delivery, Indoor Seating, Table Reservation Not Required",Restaurant,South Indian,"Rasam Rice,  Filter Coffee,  Medu Vada,  Keerai Kootu,  Rava Idli,  Ghee Podi Dosa,  Uthappam"," 12, Loco Scheme 1st Road, Gandhi Nagar, Perambur, Chennai",Perambur,13.121,80.2326,https://www.zomato.com/chennai/kozhi-charu-perambur,3.6
Ra Kozhi,Home Delivery,Restaurant,"Chinese,  Chettinad","Hakka Noodles,  Chilli Paneer,  Appam,  Chettinad Fish Curry,  Kuzhi Paniyaram,  Sweet Corn Soup,  Dim Sum"," 48/1, Srinivasapuram, Tambaram, Thiruvanmiyur, Chennai",Thiruvanmiyur,12.983,80.2594,https://www.zomato.com/chennai/ra-kozhi-thiruvanmiyur,3.8
The Biriyani Company,"Home Delivery, Indoor Seating, Free Parking",Restaurant,Biryani,"Egg Biryani,  Chicken Biryani,  Vegetable Biryani,  Brinjal Curry,  Haleem,  Sherbet,  Salna"," 16/23, TTK Road, 1st Cross Street, Alwarpet, Chennai",Alwarpet,13.0335,80.2531,https://www.zomato.com/chennai/the-biriyani-company-alwarpet,3.1
The Sarbath Shop,"Home Delivery, Indoor Seating",Fast Food,"Beverages,  Fast Food","Milkshake,  Fresh Lime Soda,  Hot Dog,  Tender Coconut,  Peri Peri Fries,  Fried Chicken,  Wrap"," E35, New 2, 3rd Street, Anna Nagar East, Chennai",Anna Nagar East,13.092,80.2236,https://www.zomato.com/chennai/the-sarbath-shop-anna-nagar-east,3.3
Dezire GoodLife Sugarless Sweets & Cakes,"Home Delivery, Vegetarian Only, Indoor Seating, Sugar Free Options, Pre-Ordering Required, Desserts and Bakes",Bakery & Sweet Shop,Mithai,"Jalebi,  Rasgulla,  Peda,  Mysore Pak,  Kaju Katli,  Ladoo,  Barfi"," 62/4, AC Block, 5th Avenue, Near Kovai Pazhamuthir Nilayam, Anna Nagar West, Chennai",Anna Nagar West,13.0862,80.2018,https://www.zomato.com/chennai/dezire-goodlife-sugarless-sweets-cakes-anna-nagar-west,3.2
Hotel Thavakkal,"Home Delivery, Indoor Seating",Hotel,"North Indian,  Chinese","Rajma Chawal,  Fried Rice,  Naan,  Rogan Josh,  Dal Makhani,  Chilli Chicken,  Gobi Manchurian"," 1022/426, TH Road, Old Washermenpet, Washermenpet, Chennai",Washermenpet,13.1148,80.2872,https://www.zomato.com/chennai/hotel-thavakkal-washermenpet,3.3
Mariss Restarant,"Home Delivery, Indoor Seating, Table reservation required",Restaurant,"Chinese,  North Indian,  Seafood,  Mughlai","Squid Fry,  Dal Makhani,  Qorma,  Haleem,  Rajma Chawal,  Calamari,  Aloo Paratha"," 21, Vandalur - Kelambakkam Main Road, Kandigai, GST Road, Chennai",GST Road,12.9975,80.1908,https://www.zomato.com/chennai/mariss-restarant-gst-road,3.3
Thinpandam The Sandwich Shop,"Home Delivery, Indoor Seating",Fast Food,"Fast Food,  Sandwich,  Beverages","Onion Rings,  Sandwich,  Focaccia Sandwich,  Club Sandwich,  Masala Chai,  Buttermilk,  Egg Sandwich"," 25/12, South Kavarai Street, Mettupalayam, Kodambakkam Road, West Mambalam, Chennai",West Mambalam,13.0383,80.2209,https://www.zomato.com/chennai/thinpandam-the-sandwich-shop-west-mambalam,3.5
Sky Blue,"Full Bar Available, Free Parking, Outdoor Seating, Rooftop",Bar,"Bar Food,  Chinese,  North Indian","Aloo Paratha,  Chilli Paneer,  Chicken Manchurian,  Craft Beer,  Chilli Chicken,  Dal Makhani,  Chole Bhature"," Hotel Manhattan, 1, RK Salai, Cathedral Road, Mylapore, Chennai","Hotel Manhattan, Mylapore",13.0368,80.2676,https://www.zomato.com/chennai/sky-blue-mylapore,2.6
Sri Sai Lakshmi Foods,"Home Delivery, Indoor Seating",Fast Food,"North Indian,  Fast Food,  Chinese","Spring Rolls,  Chilli Chicken,  Chilli Paneer,  Fried Rice,  Hot Dog,  Dim Sum,  Butter Chicken"," 2/62, 3rd Street, Vinayagapuram, Sunnambu, Kovilambakkam, Madipakkam, Chennai",Madipakkam,12.9647,80.1961,https://www.zomato.com/chennai/sri-sai-lakshmi-foods-madipakkam,3.3
Wok in China - Veg Exclusive,"Delivery Only, Vegetarian Only",Cloud Kitchen,Chinese,"Chilli Chicken,  Chilli Paneer,  Fried Rice,  Chicken Manchurian,  Gobi Manchurian,  Dim Sum,  Hakka Noodles", Delivery Only,Mylapore,13.0368,80.2676,https://www.zomato.com/wok-in-china-3,
Madarasi Restaurant,"Home Delivery, Indoor Seating",Restaurant,"North Indian,  Chinese,  South Indian","Idli Sambar,  Biryani,  Masala Dosa,  Curd Rice,  Gobi Manchurian,  Rogan Josh,  Pongal"," 8 A, Manali Express Road, Sathyamurthi Nagar, Thiruvottiyur, Washermenpet, Chennai",Washermenpet,13.1148,80.2872,https://www.zomato.com/chennai/madarasi-restaurant-washermenpet,3.6
Topi Vappa Biryani,"Home Delivery, Indoor Seating",Restaurant,"Biryani,  Chinese,  North Indian","Chole Bhature,  Aloo Paratha,  Butter Chicken,  Egg Biryani,  Rajma Chawal,  Chicken Biryani,  Chicken Manchurian"," Plot 17A, Shanti Nagar, Perumbakkam, Kancheepuram, Sholinganallur, Chennai",Sholinganallur,12.901,80.2279,https://www.zomato.com/chennai/topi-vappa-biryani-sholinganallur,3.1
Southern Chinese Restaurant,Delivery Only,Cloud Kitchen,Chinese,"Gobi Manchurian,  Chilli Chicken,  Fried Rice,  Hakka Noodles,  Dragon Chicken,  Dim Sum,  Spring Rolls"," 206, Srinivasa Nagar Inner Ring Road, Velachery, Chennai",Velachery,12.9755,80.2207,https://www.zomato.com/chennai/southern-chinese-restaurant-velachery,
Madras Chill Jigarthanda,"Home Delivery, Vegetarian Only, Desserts and Bakes",Bakery & Sweet Shop,Desserts,"Rasgulla,  Tiramisu,  Gulab Jamun,  Ice Cream,  Brownie,  Jalebi,  Chocolate Mousse"," 281, Purasawalkam High Road, Purasawalkam, Purasawalkam, Chennai",Purasavakkam,13.0902,80.2543,https://www.zomato.com/chennai/madras-chill-jigarthanda-purasavakkam,4
Amudhu Millet Restaurant,"Breakfast, Home Delivery, Vegetarian Only, Indoor Seating",Restaurant,South Indian,"Bonda Soup,  Keerai Kootu,  Pongal,  Ghee Podi Dosa,  Uthappam,  Rava Idli,  Idli Sambar"," B-7, 1st Ari Scheme Main Road, Mogappair East, Mogappair, Chennai",Mogappair,13.0837,80.175,https://www.zomato.com/chennai/amudhu-millet-restaurant-mogappair,3.3
Happy 23,"Home Delivery, Indoor Seating, Wifi",Restaurant,South Indian,"Uthappam,  Ghee Podi Dosa,  Idli Sambar,  Pongal,  Rasam Rice,  Medu Vada,  Masala Dosa"," 1/138, Rajiv Gandhi Salai, Old Mahabalipuram Road, Thuraipakkam, Chennai",Thuraipakkam,12.9416,80.2362,https://www.zomato.com/chennai/happy-23-thuraipakkam,3.2
Cheers Bar,"Full Bar Available, Indoor Seating",Bar,"Bar Food,  Finger Food","Samosa,  Chicken Wings,  Spring Rolls,  Peri Peri Chicken,  Pizza,  Loaded Fries,  Cocktails"," Hotel Vee Yes, 45, Police Comissioner Office Road, Egmore, Chennai","Hotel Vee Yes, Egmore",13.0732,80.2609,https://www.zomato.com/chennai/cheers-bar-egmore,3.3
Tasty Night,"Home Delivery, Indoor Seating",Fast Food,"Chinese,  Fast Food","Hot Dog,  Dim Sum,  Chilli Paneer,  Gobi Manchurian,  Milkshake,  Sweet Corn Soup,  Dragon Chicken"," 217, Lake View Road, West Mambalam, Chennai",West Mambalam,13.0383,80.2209,https://www.zomato.com/chennai/tasty-night-west-mambalam,3
The Bestie Family Restaurant,"Home Delivery, Free Parking, Indoor Seating",Restaurant,"North Indian,  Chinese,  South Indian","Dim Sum,  Paneer Butter Masala,  Curd Rice,  Medu Vada,  Filter Coffee,  Rogan Josh,  Chilli Chicken"," 16, New 2/10, Chettiyar Agaram Road, Gandhi Nagar, Porur, Chennai",Porur,13.0382,80.1565,https://www.zomato.com/chennai/the-bestie-family-restaurant-porur,3.5
By The Bay,"Home Delivery, Indoor Seating, Free Parking, Outdoor Seating",Restaurant,North Indian,"Tandoori Chicken,  Chole Bhature,  Palak Paneer,  Paneer Butter Masala,  Aloo Paratha,  Rogan Josh,  Dal Makhani"," 5/159, East Coast Road, Injambakkam, Chennai",Injambakkam,12.9198,80.2511,https://www.zomato.com/chennai/by-the-bay-1-injambakkam,3.5
Buharis Blue Lagoon,"Indoor Seating, Buffet, Outdoor Seating",Restaurant,"North Indian,  South Indian","Medu Vada,  Idli Sambar,  Rogan Josh,  Keerai Kootu,  Ghee Podi Dosa,  Filter Coffee,  Palak Paneer"," 5/72, East Coast Roadi, Neelangarai, Chennai",Neelangarai,12.9492,80.2547,https://www.zomato.com/chennai/buharis-blue-lagoon-neelangarai,2.7
The Yellow Door Burger,"Home Delivery, Indoor Seating",Fast Food,"Burger,  Fast Food,  Beverages","BBQ Burger,  Onion Rings,  Mango Lassi,  Fresh Lime Soda,  Hot Dog,  Sandwich,  Peri Peri Fries"," Old 33, New 61, Mayor Ramanathan Salai, Chetpet, Chennai",Chetpet,13.0714,80.2417,https://www.zomato.com/chennai/the-yellow-door-burger-chetpet,3.7
Bhojanam,"Home Delivery, Indoor Seating, Free Parking, Catering Available",Restaurant,"Andhra,  North Indian,  Chinese","Fried Rice,  Hakka Noodles,  Tandoori Chicken,  Aloo Paratha,  Andhra Biryani,  Biryani,  Palak Paneer"," Akshaya Food Court, Ambit IT Park, 1st Cross Road, Ambattur, Chennai","Ambit IT Park, Ambattur",13.1186,80.1574,https://www.zomato.com/chennai/bhojanam-ambattur,3.1
Titos Pan Tree,"Home Delivery, Outdoor Seating",Fast Food,"Juices,  Fast Food,  Beverages","Nuggets,  Fried Chicken,  Lemon Ginger Juice,  Filter Coffee,  Tender Coconut,  Green Juice,  Mojito"," 1, 7th Cross Street, Shenoy Nagar, Chennai",Shenoy Nagar,13.0695,80.2318,https://www.zomato.com/chennai/titos-pan-tree-shenoy-nagar,3.9
Tic Tac Rolls,Delivery Only,Cloud Kitchen,"Rolls,  North Indian,  Beverages","Filter Coffee,  Fresh Lime Soda,  Dal Makhani,  Butter Chicken,  Paneer Butter Masala,  Chicken Tikka Roll,  Palak Paneer"," 113, Basement Floor, Gee Gee Shroff Centre, Poonamallee High Road, Kilpauk, Chennai",Kilpauk,13.0828,80.2417,https://www.zomato.com/chennai/tic-tac-rolls-kilpauk,3.9
Rotana Restaurant,"Breakfast, Home Delivery, Indoor Seating, Table Reservation Not Required",Restaurant,"North Indian,  South Indian","Rogan Josh,  Chole Bhature,  Bonda Soup,  Biryani,  Masala Dosa,  Palak Paneer,  Filter Coffee"," 863, PH Road, Kilpauk, Chennai",Kilpauk,13.0828,80.2417,https://www.zomato.com/chennai/rotana-restaurant-kilpauk,3.7
Haleemwala,"Breakfast, Takeaway Only",Restaurant,Arabian,"Hummus,  Mandi Biryani,  Baklava,  Fattoush,  Grilled Chicken,  Kabsa,  Pita Bread"," 136/6, Ice House Masjid Complex, Dr Besant Road, Royapettah, Chennai",Royapettah,13.054,80.2641,https://www.zomato.com/chennai/haleemwala-royapettah,3.7
Saifus Kitchen,"Home Delivery, Indoor Seating",Restaurant,"South Indian,  Andhra","Ghee Podi Dosa,  Keerai Kootu,  Curd Rice,  Andhra Biryani,  Punugulu,  Medu Vada,  Rasam Rice"," Sun Plaza, Gopathi Narayanaswami Chetty Road, Thiru Vi Ka Kudiyiruppu, Teynampet, T. Nagar, Chennai",T. Nagar,13.0418,80.2341,https://www.zomato.com/chennai/saifus-kitchen-t-nagar,3.3
Karram,Takeaway Only,Restaurant,"South Indian,  Chinese","Ghee Podi Dosa,  Rava Idli,  Dragon Chicken,  Curd Rice,  Gobi Manchurian,  Uthappam,  Chilli Paneer"," Lake Brdige, Opposite RLP Hardwares, Velachery, Chennai",Velachery,12.9755,80.2207,https://www.zomato.com/karram-food-truck,3.7
Victuals,"Breakfast, Home Delivery, Indoor Seating",Fast Food,"Chinese,  Fast Food,  Ice Cream,  Street Food,  Beverages","Chocolate Ice Cream,  Mojito,  Bhel Puri,  Buttermilk,  Spring Rolls,  Vada Pav,  Kulfi"," Door 5/4, Panichavar Street, Poonamalle, Chennai",Poonamalle,13.0473,80.0945,https://www.zomato.com/chennai/victuals-poonamalle,3.1
All Delish,"Takeaway Only, Desserts and Bakes",Bakery & Sweet Shop,Desserts,"Ice Cream,  Tiramisu,  Rasgulla,  Gulab Jamun,  Panna Cotta,  Kheer,  Chocolate Mousse"," Old 93, New 157, 2nd Floor, Lloyds Road, Eastlyn, Royapettah, Chennai",Royapettah,13.054,80.2641,https://www.zomato.com/chennai/all-delish-royapettah,3.8
Best Biriyani Mall,"Home Delivery, Indoor Seating",Restaurant,"Mughlai,  Chinese,  Biryani,  North Indian","Sheermaal,  Naan,  Hakka Noodles,  Rogan Josh,  Chicken Biryani,  Tandoori Chicken,  Chilli Paneer"," 11, NRS Road, Kolathur, Chennai",Kolathur,13.124,80.2121,https://www.zomato.com/chennai/best-biriyani-mall-kolathur,2.8
Akash Fast Food & Tiffin Centre,"Home Delivery, Indoor Seating",Restaurant,"Chinese,  Chettinad","Dim Sum,  Nandu Masala,  Sweet Corn Soup,  Kari Dosai,  Hakka Noodles,  Gobi Manchurian,  Appam"," 740, T.H.Road, Thiruvottiyur, Washermenpet, Chennai",Washermenpet,13.1148,80.2872,https://www.zomato.com/chennai/akash-fast-food-tiffin-centre-washermenpet,3.3
Hajeeras Kitchen,Home Delivery,Fast Food,"Fast Food,  Biryani,  Desserts","Haleem,  Hot Dog,  Mutton Biryani,  Gulab Jamun,  Rasgulla,  Ice Cream,  Chicken Biryani"," 20/237, Sindhu Street. Sheik Abdullah Nagar, Virugambakkam, Chennai",Virugambakkam,13.0532,80.1922,https://www.zomato.com/chennai/hajeeras-kitchen-virugambakkam,4
Dhivis Kitchen,"Home Delivery, Indoor Seating",Restaurant,South Indian,"Ghee Podi Dosa,  Rava Idli,  Bonda Soup,  Pongal,  Filter Coffee,  Idli Sambar,  Rasam Rice"," New 28, Old 16, 25th Street, Ashok Nagar, Chennai",Ashok Nagar,13.0373,80.2123,https://www.zomato.com/chennai/dhivis-kitchen-ashok-nagar,3.7
Idly Kadai,Delivery Only,Cloud Kitchen,South Indian,"Curd Rice,  Rasam Rice,  Medu Vada,  Rava Idli,  Masala Dosa,  Pongal,  Keerai Kootu", Delivery Only,Saligramam,13.0545,80.2011,https://www.zomato.com/chennai/idly-kadai-saligramam,3.8
Food@99,Delivery Only,Cloud Kitchen,"South Indian,  Chinese","Chilli Chicken,  Dim Sum,  Idli Sambar,  Filter Coffee,  Bonda Soup,  Hakka Noodles,  Rasam Rice"," 5/141, Veeramani Salai, K.C Nagar, Kandanchavadi, Perungudi, Chennai",Perungudi,12.9654,80.2461,https://www.zomato.com/chennai/food@99-perungudi,3.4
D S K Food Corner,"Breakfast, Home Delivery, Indoor Seating",Restaurant,"South Indian,  Chinese,  North Indian","Chicken Manchurian,  Rogan Josh,  Curd Rice,  Rava Idli,  Filter Coffee,  Dim Sum,  Fried Rice"," 5, Suresh Nagar, Sakthi Nagar Extension, Porur, Chennai",Porur,13.0382,80.1565,https://www.zomato.com/chennai/d-s-k-food-corner-porur,3.7
Bunny Land Restaurant,"Home Delivery, Indoor Seating",Restaurant,"Tamil,  Biryani","Haleem,  Keerai Masiyal,  Payasam,  Raita,  Tamarind Rice,  Salna,  Sherbet"," 131, Sahas Embassy, Mehta Nagar, Nelson Manickam Road, Aminijikarai, Chennai",Aminijikarai,13.0711,80.2227,https://www.zomato.com/chennai/bunny-land-restaurant-aminijikarai,3.4
Mississippi Bar,"Full Bar Available, Indoor Seating, Smoking Area",Bar,Finger Food,"Bruschetta,  Spring Rolls,  Samosa,  Sliders,  Jalapeño Poppers,  Mozzarella Sticks,  Onion Rings"," Hotel Blue Diamond, 934, EVR Periyar Salai, Kilpauk, Chennai","Hotel Blue Diamond, Kilpauk",13.0828,80.2417,https://www.zomato.com/chennai/mississippi-bar-kilpauk,3
Scossa Chennai,"Home Delivery, Indoor Seating",Cafe,Beverages,"Tender Coconut,  Filter Coffee,  Mojito,  Green Tea,  Masala Chai,  Rose Milk,  Mango Lassi"," 5th Avenue, Urrur Kuppam, Besant Nagar, Chennai",Besant Nagar,13.0003,80.2667,https://www.zomato.com/chennai/scossa-chennai-besant-nagar,3.7
Devar Vettu Biryani,Home Delivery,Fast Food,"Biryani,  Fast Food,  South Indian","Rava Idli,  Uthappam,  Keerai Kootu,  Wrap,  French Fries,  Raita,  Curd Rice"," 6, Kumaran Nagar, OMR Road, Semmanchery, Chennai",Semmancheri,12.8601,80.2272,https://www.zomato.com/chennai/devar-vettu-biryani-semmancheri,4
Hotel Suriya Chettynadu,"Home Delivery, Indoor Seating",Hotel,"Chettinad,  South Indian","Chettinad Chicken Curry,  Ghee Podi Dosa,  Kuzhi Paniyaram,  Nandu Masala,  Filter Coffee,  Kavuni Arisi,  Keerai Kootu"," 366/645, Poonamallee High Road, Near Ampa Skywalk, Arumbakkam, Chennai",Arumbakkam,13.0724,80.2102,https://www.zomato.com/chennai/hotel-suriya-chettynadu-arumbakkam,3.7
A.N.S Thalappakattu,"Home Delivery, Indoor Seating",Restaurant,"Chinese,  Biryani,  Chettinad","Sweet Corn Soup,  Kari Dosai,  Kavuni Arisi,  Haleem,  Chicken 65,  Appam,  Chettinad Mutton Chukka"," 1/1, Bazaar Road, Collector Nagar, Mogappair East, Mogappair, Chennai",Mogappair,13.0837,80.175,https://www.zomato.com/chennai/a-n-s-thalappakattu-mogappair,3.8
YA-TAJ The Hang Out,"Breakfast, Home Delivery, Indoor Seating",Fast Food,"Street Food,  Fast Food,  Beverages","Sev Puri,  Pani Puri,  Fried Chicken,  Cold Coffee,  Vada Pav,  Bhel Puri,  Samosa"," Shop 303, B Block, RK Complex, Tiruneermalai Main Road, Parvathipuram, Chromepet, Chennai",Chromepet,12.9516,80.1462,https://www.zomato.com/chennai/ya-taj-the-hang-out-chromepet,3.6
Shawarmania,"Home Delivery, Standing Tables, Free Parking, Indoor Seating",Restaurant,"Mughlai,  BBQ,  Fast Food","Nihari,  Murgh Musallam,  Wrap,  Peri Peri Fries,  Chicken Wings,  Sandwich,  Onion Rings"," 248, Thanthai, Periyar Nagar, Kaiveli, Velachery, Chennai",Velachery,12.9755,80.2207,https://www.zomato.com/chennai/shawarmania-velachery,2.9
